strategy,threshold,accuracy,precision,recall,f1,tp,tn,fp,fn,positive_predictions
highly_non_iid,0.52,0.789,0.1101,0.7353,0.1916,50,1528,404,18,454
highly_non_iid,0.53,0.7985,0.1149,0.7353,0.1988,50,1547,385,18,435
highly_non_iid,0.54,0.8105,0.1217,0.7353,0.2088,50,1571,361,18,411
highly_non_iid,0.55,0.8155,0.1247,0.7353,0.2132,50,1581,351,18,401
highly_non_iid,0.56,0.823,0.1295,0.7353,0.2203,50,1596,336,18,386
highly_non_iid,0.57,0.833,0.1366,0.7353,0.2304,50,1616,316,18,366
highly_non_iid,0.58,0.843,0.1424,0.7206,0.2379,49,1637,295,19,344
highly_non_iid,0.59,0.847,0.1437,0.7059,0.2388,48,1646,286,20,334
highly_non_iid,0.6,0.854,0.1478,0.6912,0.2435,47,1661,271,21,318
highly_non_iid,0.61,0.8615,0.1551,0.6912,0.2534,47,1676,256,21,303
highly_non_iid,0.62,0.8695,0.1614,0.6765,0.2606,46,1693,239,22,285
highly_non_iid,0.63,0.8765,0.1673,0.6618,0.2671,45,1708,224,23,269
highly_non_iid,0.64,0.8825,0.1751,0.6618,0.2769,45,1720,212,23,257
highly_non_iid,0.65,0.8925,0.1872,0.6471,0.2904,44,1741,191,24,235
highly_non_iid,0.66,0.894,0.187,0.6324,0.2886,43,1745,187,25,230
highly_non_iid,0.67,0.902,0.1981,0.6176,0.3,42,1762,170,26,212
highly_non_iid,0.68,0.907,0.2079,0.6176,0.3111,42,1772,160,26,202
highly_non_iid,0.69,0.91,0.2053,0.5735,0.3023,39,1781,151,29,190
highly_non_iid,0.7,0.9155,0.2147,0.5588,0.3102,38,1793,139,30,177
highly_non_iid,0.71,0.92,0.2195,0.5294,0.3103,36,1804,128,32,164
highly_non_iid,0.72,0.9235,0.2293,0.5294,0.32,36,1811,121,32,157
highly_non_iid,0.73,0.9305,0.2517,0.5294,0.3412,36,1825,107,32,143
highly_non_iid,0.74,0.9355,0.2707,0.5294,0.3582,36,1835,97,32,133
highly_non_iid,0.75,0.941,0.2881,0.5,0.3656,34,1848,84,34,118
highly_non_iid,0.76,0.9435,0.2973,0.4853,0.3687,33,1854,78,35,111
highly_non_iid,0.77,0.949,0.3229,0.4559,0.378,31,1867,65,37,96
highly_non_iid,0.78,0.952,0.3333,0.4118,0.3684,28,1876,56,40,84
highly_non_iid,0.79,0.957,0.375,0.3971,0.3857,27,1887,45,41,72
highly_non_iid,0.8,0.9615,0.4286,0.3971,0.4122,27,1896,36,41,63
highly_non_iid,0.81,0.9635,0.4561,0.3824,0.416,26,1901,31,42,57
highly_non_iid,0.82,0.9645,0.4717,0.3676,0.4132,25,1904,28,43,53
highly_non_iid,0.83,0.9655,0.4898,0.3529,0.4103,24,1907,25,44,49
highly_non_iid,0.84,0.966,0.5,0.3088,0.3818,21,1911,21,47,42
highly_non_iid,0.85,0.966,0.5,0.2647,0.3462,18,1914,18,50,36
highly_non_iid,0.86,0.9665,0.5161,0.2353,0.3232,16,1917,15,52,31
highly_non_iid,0.87,0.9665,0.5172,0.2206,0.3093,15,1918,14,53,29
highly_non_iid,0.88,0.9675,0.5556,0.2206,0.3158,15,1920,12,53,27
highly_non_iid,0.89,0.9685,0.619,0.1912,0.2921,13,1924,8,55,21
highly_non_iid,0.9,0.968,0.6111,0.1618,0.2558,11,1925,7,57,18
highly_non_iid,0.91,0.9685,0.6923,0.1324,0.2222,9,1928,4,59,13
highly_non_iid,0.92,0.968,0.6667,0.1176,0.2,8,1928,4,60,12
highly_non_iid,0.93,0.968,0.7,0.1029,0.1795,7,1929,3,61,10
highly_non_iid,0.94,0.967,0.625,0.0735,0.1316,5,1929,3,63,8
highly_non_iid,0.95,0.9665,0.6667,0.0294,0.0563,2,1931,1,66,3
