strategy,threshold,accuracy,precision,recall,f1,tp,tn,fp,fn,positive_predictions
highly_non_iid,0.52,0.7795,0.1123,0.7941,0.1967,54,1505,427,14,481
highly_non_iid,0.53,0.787,0.1159,0.7941,0.2022,54,1520,412,14,466
highly_non_iid,0.54,0.7965,0.1191,0.7794,0.2066,53,1540,392,15,445
highly_non_iid,0.55,0.8045,0.1218,0.7647,0.2101,52,1557,375,16,427
highly_non_iid,0.56,0.814,0.1238,0.7353,0.2119,50,1578,354,18,404
highly_non_iid,0.57,0.827,0.1323,0.7353,0.2242,50,1604,328,18,378
highly_non_iid,0.58,0.8375,0.138,0.7206,0.2317,49,1626,306,19,355
highly_non_iid,0.59,0.8465,0.1454,0.7206,0.242,49,1644,288,19,337
highly_non_iid,0.6,0.8525,0.1508,0.7206,0.2494,49,1656,276,19,325
highly_non_iid,0.61,0.861,0.1569,0.7059,0.2567,48,1674,258,20,306
highly_non_iid,0.62,0.864,0.1554,0.6765,0.2527,46,1682,250,22,296
highly_non_iid,0.63,0.8695,0.1614,0.6765,0.2606,46,1693,239,22,285
highly_non_iid,0.64,0.8755,0.1636,0.6471,0.2611,44,1707,225,24,269
highly_non_iid,0.65,0.8825,0.1725,0.6471,0.2724,44,1721,211,24,255
highly_non_iid,0.66,0.888,0.175,0.6176,0.2727,42,1734,198,26,240
highly_non_iid,0.67,0.8935,0.1806,0.6029,0.278,41,1746,186,27,227
highly_non_iid,0.68,0.9,0.1857,0.5735,0.2806,39,1761,171,29,210
highly_non_iid,0.69,0.9075,0.1937,0.5441,0.2857,37,1778,154,31,191
highly_non_iid,0.7,0.9115,0.2022,0.5441,0.2948,37,1786,146,31,183
highly_non_iid,0.71,0.9195,0.2216,0.5441,0.3149,37,1802,130,31,167
highly_non_iid,0.72,0.924,0.2342,0.5441,0.3274,37,1811,121,31,158
highly_non_iid,0.73,0.9285,0.2449,0.5294,0.3349,36,1821,111,32,147
highly_non_iid,0.74,0.933,0.2574,0.5147,0.3431,35,1831,101,33,136
highly_non_iid,0.75,0.937,0.2661,0.4853,0.3438,33,1841,91,35,124
highly_non_iid,0.76,0.942,0.2857,0.4706,0.3556,32,1852,80,36,112
highly_non_iid,0.77,0.9465,0.303,0.4412,0.3593,30,1863,69,38,99
highly_non_iid,0.78,0.9495,0.3187,0.4265,0.3648,29,1870,62,39,91
highly_non_iid,0.79,0.951,0.3214,0.3971,0.3553,27,1875,57,41,84
highly_non_iid,0.8,0.9575,0.3803,0.3971,0.3885,27,1888,44,41,71
highly_non_iid,0.81,0.963,0.4483,0.3824,0.4127,26,1900,32,42,58
highly_non_iid,0.82,0.9645,0.4717,0.3676,0.4132,25,1904,28,43,53
highly_non_iid,0.83,0.9645,0.4694,0.3382,0.3932,23,1906,26,45,49
highly_non_iid,0.84,0.965,0.4762,0.2941,0.3636,20,1910,22,48,42
highly_non_iid,0.85,0.966,0.5,0.2647,0.3462,18,1914,18,50,36
highly_non_iid,0.86,0.9665,0.5172,0.2206,0.3093,15,1918,14,53,29
highly_non_iid,0.87,0.967,0.5385,0.2059,0.2979,14,1920,12,54,26
highly_non_iid,0.88,0.968,0.5833,0.2059,0.3043,14,1922,10,54,24
highly_non_iid,0.89,0.9685,0.619,0.1912,0.2921,13,1924,8,55,21
highly_non_iid,0.9,0.9685,0.6471,0.1618,0.2588,11,1926,6,57,17
highly_non_iid,0.91,0.969,0.7143,0.1471,0.2439,10,1928,4,58,14
highly_non_iid,0.92,0.9675,0.6667,0.0882,0.1558,6,1929,3,62,9
highly_non_iid,0.93,0.967,0.625,0.0735,0.1316,5,1929,3,63,8
highly_non_iid,0.94,0.966,0.5,0.0441,0.0811,3,1929,3,65,6
highly_non_iid,0.95,0.966,0.5,0.0294,0.0556,2,1930,2,66,4
