strategy,round,participating_clients,local_epochs,client_samples,mean_client_loss,val_accuracy,val_precision,val_recall,val_f1,test_accuracy_at_0_5,test_precision_at_0_5,test_recall_at_0_5,test_f1_at_0_5
moderate_non_iid,2,5,5,6000,0.598108,0.54,0.0581,0.8235,0.1085,0.557,0.0593,0.8088,0.1104
moderate_non_iid,3,5,5,6000,0.581073,0.561,0.0607,0.8235,0.1131,0.585,0.0631,0.8088,0.117
moderate_non_iid,4,5,5,6000,0.567829,0.5865,0.0633,0.8088,0.1174,0.607,0.0664,0.8088,0.1228
moderate_non_iid,5,5,5,6000,0.556575,0.604,0.0659,0.8088,0.122,0.6285,0.0701,0.8088,0.129
moderate_non_iid,6,5,5,6000,0.546644,0.6175,0.0671,0.7941,0.1237,0.6435,0.0728,0.8088,0.1337
moderate_non_iid,7,5,5,6000,0.537725,0.629,0.0691,0.7941,0.1271,0.6585,0.0759,0.8088,0.1387
moderate_non_iid,8,5,5,6000,0.529635,0.638,0.0707,0.7941,0.1298,0.6725,0.0789,0.8088,0.1438
moderate_non_iid,9,5,5,6000,0.522253,0.65,0.073,0.7941,0.1337,0.6865,0.0822,0.8088,0.1493
moderate_non_iid,10,5,5,6000,0.515484,0.66,0.075,0.7941,0.1371,0.699,0.0854,0.8088,0.1545
moderate_non_iid,11,5,5,6000,0.509257,0.6695,0.077,0.7941,0.1404,0.709,0.0895,0.8235,0.1614
moderate_non_iid,12,5,5,6000,0.503509,0.6755,0.0771,0.7794,0.1404,0.717,0.0918,0.8235,0.1652
moderate_non_iid,13,5,5,6000,0.49819,0.686,0.0796,0.7794,0.1444,0.727,0.0949,0.8235,0.1702
moderate_non_iid,14,5,5,6000,0.493257,0.694,0.0815,0.7794,0.1476,0.732,0.0966,0.8235,0.1728
moderate_non_iid,15,5,5,6000,0.488671,0.7045,0.0843,0.7794,0.1521,0.7365,0.0981,0.8235,0.1753
moderate_non_iid,16,5,5,6000,0.4844,0.7105,0.0846,0.7647,0.1523,0.7445,0.1009,0.8235,0.1798
moderate_non_iid,17,5,5,6000,0.480416,0.7165,0.0849,0.75,0.1525,0.7495,0.1028,0.8235,0.1827
moderate_non_iid,18,5,5,6000,0.476691,0.721,0.0861,0.75,0.1545,0.752,0.1022,0.8088,0.1815
moderate_non_iid,19,5,5,6000,0.473204,0.7235,0.0869,0.75,0.1557,0.757,0.1057,0.8235,0.1873
moderate_non_iid,20,5,5,6000,0.469935,0.724,0.087,0.75,0.156,0.761,0.1088,0.8382,0.1926
moderate_non_iid,21,5,5,6000,0.466866,0.7285,0.0884,0.75,0.1581,0.764,0.11,0.8382,0.1945
moderate_non_iid,22,5,5,6000,0.463979,0.7325,0.0896,0.75,0.1601,0.7655,0.1122,0.8529,0.1983
moderate_non_iid,23,5,5,6000,0.461262,0.7365,0.0909,0.75,0.1622,0.7685,0.112,0.8382,0.1976
moderate_non_iid,24,5,5,6000,0.4587,0.738,0.0914,0.75,0.1629,0.771,0.1146,0.8529,0.2021
moderate_non_iid,25,5,5,6000,0.456282,0.741,0.0924,0.75,0.1645,0.7725,0.1122,0.8235,0.1975
moderate_non_iid,26,5,5,6000,0.453996,0.744,0.0934,0.75,0.1661,0.774,0.1129,0.8235,0.1986
moderate_non_iid,27,5,5,6000,0.451834,0.745,0.0938,0.75,0.1667,0.775,0.1134,0.8235,0.1993
moderate_non_iid,28,5,5,6000,0.449786,0.7475,0.0946,0.75,0.168,0.7765,0.1141,0.8235,0.2004
moderate_non_iid,29,5,5,6000,0.447844,0.75,0.097,0.7647,0.1722,0.7795,0.1155,0.8235,0.2025
moderate_non_iid,30,5,5,6000,0.446001,0.7525,0.0979,0.7647,0.1736,0.783,0.1187,0.8382,0.208
moderate_non_iid,31,5,5,6000,0.44425,0.7545,0.0987,0.7647,0.1748,0.784,0.1192,0.8382,0.2088
moderate_non_iid,32,5,5,6000,0.442585,0.7555,0.099,0.7647,0.1754,0.7855,0.12,0.8382,0.2099
moderate_non_iid,33,5,5,6000,0.440999,0.7585,0.0986,0.75,0.1744,0.7875,0.121,0.8382,0.2115
moderate_non_iid,34,5,5,6000,0.439488,0.7585,0.0986,0.75,0.1744,0.7885,0.1215,0.8382,0.2123
moderate_non_iid,35,5,5,6000,0.438048,0.762,0.1,0.75,0.1765,0.7895,0.1221,0.8382,0.2131
moderate_non_iid,36,5,5,6000,0.436672,0.7625,0.1002,0.75,0.1768,0.79,0.1223,0.8382,0.2135
moderate_non_iid,37,5,5,6000,0.435359,0.7655,0.1014,0.75,0.1786,0.7915,0.1231,0.8382,0.2147
moderate_non_iid,38,5,5,6000,0.434103,0.7665,0.1018,0.75,0.1793,0.793,0.1239,0.8382,0.2159
moderate_non_iid,39,5,5,6000,0.4329,0.766,0.1016,0.75,0.1789,0.795,0.125,0.8382,0.2176
moderate_non_iid,40,5,5,6000,0.431749,0.7665,0.1018,0.75,0.1793,0.7955,0.1253,0.8382,0.218
moderate_non_iid,41,5,5,6000,0.430646,0.767,0.102,0.75,0.1796,0.796,0.1256,0.8382,0.2184
moderate_non_iid,42,5,5,6000,0.429588,0.7685,0.1026,0.75,0.1805,0.7985,0.1269,0.8382,0.2205
moderate_non_iid,43,5,5,6000,0.428572,0.77,0.1032,0.75,0.1815,0.8,0.1278,0.8382,0.2218
moderate_non_iid,44,5,5,6000,0.427597,0.772,0.1057,0.7647,0.1857,0.8015,0.1287,0.8382,0.2231
moderate_non_iid,45,5,5,6000,0.426659,0.7735,0.1063,0.7647,0.1867,0.803,0.1312,0.8529,0.2275
moderate_non_iid,46,5,5,6000,0.425757,0.7735,0.1063,0.7647,0.1867,0.804,0.1318,0.8529,0.2283
moderate_non_iid,47,5,5,6000,0.424889,0.7735,0.1063,0.7647,0.1867,0.8045,0.1304,0.8382,0.2257
moderate_non_iid,48,5,5,6000,0.424052,0.774,0.1066,0.7647,0.1871,0.806,0.1313,0.8382,0.2271
moderate_non_iid,49,5,5,6000,0.423246,0.775,0.107,0.7647,0.1877,0.8065,0.1316,0.8382,0.2275
moderate_non_iid,50,5,5,6000,0.422469,0.776,0.1074,0.7647,0.1884,0.8075,0.1323,0.8382,0.2285
